#separator:Comma
#html:false
#guid column:4
expression,reading,meaning,guid
徒歩,とほ,On foot,004aXIinh8OmERo9SuXT
本能,ほんのう,Instinct,009qlYFXZdDSWM6fpOpq
塵取り,ちりとり,dustpan,00REmZdzPctvnihf5b6g
清ます,すます,"Clear, make clear, listen for",01Pbby6WcV7UhHd9gtjC
放射,ほうしゃ,"radiation, emission",02IU1BtTww3VG3KLsVF5
戦術,せんじゅつ,Tactics,02JrYQ3xpg5ryUZK0DUH
蕾,つぼみ,Bud,02wU5hbdPwBLo1RgPqPv
固定,こてい,"fixation, fixing",05bkk5fqNyFYrp5fA7k3
遺跡,いせき,Ruins,05t2wnd0myu75yBL4sls
子息,しそく,Son,05ugNrv8dewvKNFPWgGS
名簿,めいぼ,register of names,05yT2hxdJMNuXSbQjIL3
重んじる,おもんじる,"Respect, honor, esteem, prize",07QuFHuBaqoWfNR3VaYa
切実,せつじつ,"compelling, serious, severe, acute",07rDbmqv9zFgF18Q93Sc
群衆,ぐんしゅう,Crowd,085X3lM9PbDG8WnNYA4O
結び付ける,むすびつける,"Combine, join, tie on, attach with a knot",0AVyeEybSOUdaw55MHH1
心強い,こころづよい,"heartening, reassuring",0C6n0AOkAj01iylFrQMa
コントラスト,コントラスト,Contrast,0FjBqIguxqnhEXGlRFbh
快い,こころよい,"Pleasant, agreeable",0HO1viQHyczqj4yqG8oV
市場,しじょう,Market,0HoOE4IHBkFQKsu1Ghdw
合成,ごうせい,"Synthetic, Mixed",0Hr0GKiNeitmiV3aIEa4
耽る,ふける,"indulge in, give oneself up to, be absorbed in",0ITChuHXvkQkZaxics4d
決勝,けっしょう,Finals,0KAZ04DKTvbdFxSzmb3F
歩み,あゆみ,"Step, progress, history",0LalKxO9u8DKFrgo0xmu
整える,ととのえる,"Arrange, adjust, prepare",0P36AHYYTdmzv4SOUz9x
慕う,したう,"Yearn for, adore",0PDr8kHXKvl6Gk1dhxHN
定める,さだめる,"decide, determine",0SGllJBx0XIRpTvJc0hl
ベース,ベース,"Base, Bass",0STiTKkiNhTiJrTOaSIB
