#separator:Comma
#html:false
#guid column:4
expression,reading,meaning,guid
都,みやこ,Metropolitan,07B6shuYAOa8wY2tTbF0
捕まえる,つかまえる,"Catch, arrest",07rFvDL7DLURX1q4gvDE
聞こえる,きこえる,be audible,0AgL1837Ro8HsQGDAoEd
植える,うえる,plant,0UDms7kazYcRo95dc4QG
林,はやし,woods,0XKmjQSvhcZeD3lMzCDz
～ちゃん,～ちゃん,-chan,0Yg6Qw33nYudzGzHrCkF
それに,それに,"Moreover, besides",0ZdLNknTX3YgEwZHlS4T
線,せん,"line, wire",0etsZOra47JexwmxZ2Zs
～ございます,～ございます,"to be (polite)pəˈlaɪt, to exist",0fbkM71lWYY5e3oJahBL
負ける,まける,lose,0slHENxiQcGxAM6e8pX9
謝る,あやまる,Apologize,11koZvFBrFGVhJGKtNpy
立てる,たてる,Stand up,13lkrKecYD96HUDJa0yg
出席,しゅっせきする,Attendance,1TrQcEnt7U7RyWKHDJ15
真面目,まじめ,"Diligent, serious",1aLrL8xNWPNxAKoosFgC
すっと,すっと,"straight, quickly",1amsarKmotrh8Erstoxv
島,しま,Island,1bSGgst1FVSjTYAYZiAI
乾く,かわく,Dry,1iRBbpJm3OW9hhUdmTJU
気持ち,きもち,"Feeling, sensation, mood",1uP0RBYkQb0JXZQp4Iu8
神社,じんじゃ,Shinto shrine,1udXN6wb2n4ZTahkAAO8
～員,～いん,Member of ~,25kLcZFbEHtrwSIjsBYr
息子,むすこ,Son,2810IMMMrvwMHMPkGGgW
おつり,おつり,Change,2816z9oBozHW6jaTGihZ
看護婦,かんごふ,nurse,2AwQij8jh06Txt9N2Phb
辞典,じてん,Dictionary,2BpiKrOeiDFj52IH1F2M
講堂,こうどう,Auditorium,2FL3n5Coye5YSXkDH98G
受付,うけつけ,Reception desk,2GSAIwcw3c2vFiIQJ84q
御～,おん～,Honorable ~,2GjE6taoO9Wb3euigrdE
サンドイッチ,サンドイッチ,Sandwich,2I0kz7jNs2PJyEkK9AEQ
注射,ちゅうしゃ,Injection,2MRWMe8lhJk3YqTWlZeo
技術,ぎじゅつ,"Technology, technique, skill",2V7aqQ1bAdKEf9xGFDWh
遠く,とおく,Distant,2YGLW0xHcv7jhwYCvGCU
けがする,けがする,injure oneself,2gkcyYDrQKVpl3vAtUi6
ごちそう,ごちそう,"Feast, treat",3CyAim5cE1fAA2RQq2Iy
再来月,さらいげつ,The month after next.,3DJLoxlODUFV9vqm1zuq
熱,ねつ,"fever, temperature",3EK5CRimszTpHjzI9YYM
彼女,かのじょ,girlfriend; she,3QobmAwu63s16xqRIo1c
湖,みずうみ,Lake,3RvdmZAOezrKQWu8X7gF
～ばかり,～ばかり,"just did, only",3YeL0XNvcipEUCVriYgA
足す,たす,Add,3odNAQgw70odS3ZWcGFb
億,おく,one hundred million,3xa78ID7AtjktIrm6wOX
特に,とくに,Particularly,4881uzLoFCHB2KXeerB1
運動,うんどうする,Exercise,48gn8FWuR8NG3YvJrrqu
さっき,さっき,A little while ago,493mTpIDMvUSbJKvFHo6
絹,きぬ,Silk,4OYjvN8IIfuo1q8G2ecm
祖父,そふ,Grandfather,4PyHJLbWI2AIE0Sc0H48
済む,すむ,"Finish, end",4TroCjBVFy2pVKlcbEfG
ぶどう,ぶどう,Grapes,4hAwnV27lCRoRYD085pC
調べる,しらべる,"check, look up, inquire, search",4iAEUc6Y6LgXhXfFo0FQ
専門,せんもん,speciality,4kyFSpfvYO0tR2Xv1GDQ
見物,けんぶつ,Sightseeing,4okzDoRbs9r5XOq7ygcJ
用,よう,"Errand, task, business",4qwaTtZLRNQdkApJy1hq
逃げる,にげる,"escape, run away",4rGa8fzHiL443quqCzDk
天気予報,てんきよほう,Weather forecast,4rZMMmOtgpHxRWIViYic
アナウンサー,アナウンサー,announcer,55e6xLFZ9j9lha5CRYHb
腕,うで,arm,59zukHkeVO5SjM9FbEnm
坂,さか,"Slope, Hill",5BHsBRJhMXWJxPqB1IQA
高校生,こうこうせい,high school student,5Vciwujx68ObjJpxfAH9
