#separator:Comma
#html:false
#guid column:4
expression,reading,meaning,guid
コレクション,コレクション,Collection,03BW7j82x7ODNibdGwPy
バンド,バンド,Band,03R6P3A31CVWL8XElk0j
挟む,はさむ,"pinch, hold between, insert",04MAaHWr3Ih5b9ZlyhVo
～園,～えん,-garden,04mvdI7jqhxd8htKIlqW
呆れる,あきれる,"To shocked, to be appalled",04vigPiRj07aF0DrZmdM
あちらこちら,あちらこちら,here and there,06gLrwAiFXvqXe101cQk
縞,しま,Stripe,07XkFENXaUvKpRHeMgge
のろのろ,のろのろ,"slowly, sluggishly",08W584QDzaUo1CyYnw5U
内線,ないせん,Extension,0AI00KKh3QsOipwRRIsf
お参り,おまいり,Shrine visit,0BUmj85MTalFt6lhMasx
免税,めんぜい,Tax exemption,0CzNXna1CVD8woZ0QD4m
集会,しゅうかい,"Meeting, assembly",0FTnbWM3RPV6yi1Hb9OB
釜,かま,"Iron pot, kettle",0SvfW2ygziAqYxksLuh9
干す,ほす,"Dry, Air, Drink Up",0TLqGtqFBOC85KGrgqkj
濁る,にごる,"become muddy, get cloudy",0UiOsIpTlCajygOcf1kY
絶えず,たえず,constantly,0WHg5U7ZHjlQS4CQel7b
原料,げんりょう,raw materials,0X0a1MIuRU8Ec4hxXcXJ
一定,いってい,"fixed, settled, regular",0XHfnLdjVcuRjsr7Y4qm
製作,せいさく,"Manufacture, Production",0XZmFf9zQrLuzrDTdwpZ
文献,ぶんけん,"Literature, bibliography",0XyOuTvPIJAwQX4i6MDm
成分,せいぶん,"ingredient, component, composition",0YSz1OrgfYQr43GNHlzC
スライド,スライド,Slide,0eFCYg2us2UzLZFdxhyo
申し訳ない,もうしわけない,"Inexcusable, I am sorry",0eHCz5oYtZ0hVUzzfyTO
麓,ふもと,foot of a mountain,0ePxwO35eMGRTjcvvFFC
略す,りゃくす,Abbreviate,0eRiuDxgxvGQMGryad1s
しゃがむ,しゃがむ,Squat,0fdxWTRc4W0UhArOuCAN
またぐ,またぐ,straddle,0h9SNeWyUYuyjSoelmu1
