#separator:Comma
#html:false
#guid column:4
expression,reading,meaning,guid
易しい,やさしい,Easy,0282PDK8R0tdepgAbRJj
水,みず,Water,067EGHsiHo77OWLKQ2ky
時計,とけい,"Watch, Clock",0F5y4DQHD66jhcvyIgJS
妹,いもうと,younger sister,0Lni5rUrZBWzJn5PRAIK
男,おとこ,man,0NhmvSqIMSJEzCbeYFw6
どちら,どちら,"which, where",0VCUqzoXR13n1FMDpEjO
出口,でぐち,Exit,0X7jBFI45Usf7uKH6blb
今日,こんにち,Today,0Z3OI8L8CUzoP88UFef4
机,つくえ,Desk,0i1SfeZPVtoCmKsutmzS
いつも,いつも,Always,0p3CwXxF9y1x1gMElclZ
歌,うた,Song,0plPLNpD7ZuSxTzQbwFj
六つ,むっつ,Six things,0xkDYkwpsJddmADhdxzv
もっと,もっと,More,146yQYmKnnrBGyq33CkU
締める,しめる,"Tie, fasten, tighten",179xmV6wLMFWUxlkEeLj
学校,がっこう,School,1E8Pt09CzAaziTOrGzQt
私,わたくし,I,1LvvIMZ8N3t14UxbZqkD
ドア,ドア,Door,1TYUiUiQOClqnarQDDJX
家庭,かてい,Family or Home,1ewQfinzwEsKcpTxx5M0
練習,れんしゅう (する),Practice,1gCk0U6SlSsV8rzPYPNs
借りる,かりる,borrow,1mV7CC7gbyHPQSxnM3yj
書く,かく,write,1moUyn8EJDMU0wj6wkUD
方,ほう,"Person, way of doing",1p5SlV7zBTrTKDvltU0b
バター,バター,Butter,24wzyBys29ruKPn8TAer
汚い,きたない,"dirty, unclean, filthy",2BwbJPV2q0V9pqguqjnc
階段,かいだん,stairs,2KjLCwqPcptq9BvnBGAq
隣,となり,next door,2PDdqH2bXBPQnCsOjaoR
こっち,こっち,"This side, this way, this person",2XohXTqhJaV1gYpPANRQ
開ける,あける,Open,2jKWOFmZV2htW16yEFwm
～本,～ほん,Counter for long cylindrical things,2lKOThbzDSVlxGRa3On4
結婚,けっこん (する),Marriage,2ljmG40HXXU8h4rmHVWD
うるさい,うるさい,"Noisy, annoying",2mljwogmxnlInYLyaKAj
テープレコーダー,テープレコーダー,Tape recorder,2mzJ1QXKBAeTz2r7g3hn
それから,それから,"And then, after that",2r3VgAK3ebQcchalRYJ9
角,つの,corner,2tXoEd6Kd0RQgcFYw33T
友達,ともだち,Friend,2wqYsetPWAcZsPyjxZZF
薄い,うすい,"thin, weak",355jZXKqm0xcwm776Jz5
お～,お～,Honorable prefix,37oTr8HXVwMYYGdR1OuV
先,せん,"Future, recent, previous",3GRIijXmjBZnN8Y7xjoB
シャツ,シャツ,Shirt,3MBBrYlJ36Svx1qjxQzp
花瓶,かびん,Vase,3NGxQHbxEzkAt1I9PR6H
木曜日,もくようび,Thursday,3NHtGq4DQyWSoO0vbnwf
お弁当,おべんとう,Boxed lunch,3S8vdnR1Ynw6QI4M5tdW
困る,こまる,"be bothered, have difficulty",3TH2HJXA8QEBGTwGSh16
使う,つかう,Use,3UtWCY8LH3JZ03ezRXVG
寝る,ねる,Sleep,3YlNr93x15l4A7S4CKvK
切手,きって,Postage stamp,3ag03zBV2kF7E3WDm8qN
漢字,かんじ,Kanji,3ewFfFdpsybsSihCJOFA
話,はなし,"Talk, story",3oYxUPwxxczoJTEpk41D
庭,にわ,garden,3snAyiIi3sLY73ezq7D2
声,こえ,voice,42eaYTO43EeBT1fjrn4V
男の子,おとこのこ,Boy,49LnDSPSie0ORQVrbL7R
死ぬ,しぬ,die,4A0XoiO2HcGEmJkAMx3l
ラジオカセ,ラジオカセ,Radio cassette player,4AErsQOMxqrrujR2KRDO
泳ぐ,およぐ,swim,4LTaepvfYqX0xUTBQRJo
お腹,おなか,Stomach,4T6GEFYLbYCxH1ppwY0D
遠い,とおい,distant,4aYQa3efNliwWZn7Enlt
伯母さん; 叔母さん,おばさん,Aunt,50TYFtOH27jpANPiOU4G
どっち,どっち,Which one,52G9F6skG6yw9yoaoCaO
どうも,どうも,Thank you; somehow; no matter how hard one may try,58CYSmQ9Vit3iO7BYFIn
